ID,Heating SP,Cooling SP,Blind 1,Blind 2,Window 1,Window 2
349,18,27,0,1,0,1
350,18,28,0,1,0,1
351,19,20,0,1,0,1
352,19,21,0,1,0,1
353,19,22,0,1,0,1
354,19,23,0,1,0,1
355,19,24,0,1,0,1
356,19,25,0,1,0,1
357,19,26,0,1,0,1
358,19,27,0,1,0,1
359,19,28,0,1,0,1
360,20,21,0,1,0,1
361,20,22,0,1,0,1
362,20,23,0,1,0,1
363,20,24,0,1,0,1
364,20,25,0,1,0,1
365,20,26,0,1,0,1
366,20,27,0,1,0,1
367,20,28,0,1,0,1
368,21,22,0,1,0,1
369,21,23,0,1,0,1
370,21,24,0,1,0,1
371,21,25,0,1,0,1
372,21,26,0,1,0,1
373,21,27,0,1,0,1
374,21,28,0,1,0,1
375,22,23,0,1,0,1
376,22,24,0,1,0,1
377,22,25,0,1,0,1
378,22,26,0,1,0,1
379,22,27,0,1,0,1
380,22,28,0,1,0,1
381,23,24,0,1,0,1
382,23,25,0,1,0,1
383,23,26,0,1,0,1
384,23,27,0,1,0,1
385,23,28,0,1,0,1
386,24,25,0,1,0,1
387,24,26,0,1,0,1
388,24,27,0,1,0,1
389,24,28,0,1,0,1
390,25,26,0,1,0,1
391,25,27,0,1,0,1
392,25,28,0,1,0,1
393,26,27,0,1,0,1
394,26,28,0,1,0,1
395,27,28,0,1,0,1
396,17,18,0,1,1,0
397,17,19,0,1,1,0
398,17,20,0,1,1,0
399,17,21,0,1,1,0
400,17,22,0,1,1,0
401,17,23,0,1,1,0
402,17,24,0,1,1,0
403,17,25,0,1,1,0
404,17,26,0,1,1,0
405,17,27,0,1,1,0
406,17,28,0,1,1,0
407,18,19,0,1,1,0
408,18,20,0,1,1,0
409,18,21,0,1,1,0
410,18,22,0,1,1,0
411,18,23,0,1,1,0
412,18,24,0,1,1,0
413,18,25,0,1,1,0
414,18,26,0,1,1,0
415,18,27,0,1,1,0
416,18,28,0,1,1,0
417,19,20,0,1,1,0
418,19,21,0,1,1,0
419,19,22,0,1,1,0
420,19,23,0,1,1,0
421,19,24,0,1,1,0
422,19,25,0,1,1,0
423,19,26,0,1,1,0
424,19,27,0,1,1,0
425,19,28,0,1,1,0
426,20,21,0,1,1,0
427,20,22,0,1,1,0
428,20,23,0,1,1,0
429,20,24,0,1,1,0
430,20,25,0,1,1,0
431,20,26,0,1,1,0
432,20,27,0,1,1,0
433,20,28,0,1,1,0
434,21,22,0,1,1,0
435,21,23,0,1,1,0
436,21,24,0,1,1,0
437,21,25,0,1,1,0
438,21,26,0,1,1,0
439,21,27,0,1,1,0
440,21,28,0,1,1,0
441,22,23,0,1,1,0
442,22,24,0,1,1,0
443,22,25,0,1,1,0
444,22,26,0,1,1,0
445,22,27,0,1,1,0
446,22,28,0,1,1,0
447,23,24,0,1,1,0
448,23,25,0,1,1,0
449,23,26,0,1,1,0
450,23,27,0,1,1,0
451,23,28,0,1,1,0
452,24,25,0,1,1,0
453,24,26,0,1,1,0
454,24,27,0,1,1,0
455,24,28,0,1,1,0
456,25,26,0,1,1,0
457,25,27,0,1,1,0
458,25,28,0,1,1,0
459,26,27,0,1,1,0
460,26,28,0,1,1,0
461,27,28,0,1,1,0
462,17,18,0,1,1,1
463,17,19,0,1,1,1
464,17,20,0,1,1,1
465,17,21,0,1,1,1
466,17,22,0,1,1,1
467,17,23,0,1,1,1
468,17,24,0,1,1,1
469,17,25,0,1,1,1
470,17,26,0,1,1,1
471,17,27,0,1,1,1
472,17,28,0,1,1,1
473,18,19,0,1,1,1
474,18,20,0,1,1,1
475,18,21,0,1,1,1
476,18,22,0,1,1,1
477,18,23,0,1,1,1
478,18,24,0,1,1,1
479,18,25,0,1,1,1
480,18,26,0,1,1,1
481,18,27,0,1,1,1
482,18,28,0,1,1,1
483,19,20,0,1,1,1
484,19,21,0,1,1,1
485,19,22,0,1,1,1
486,19,23,0,1,1,1
487,19,24,0,1,1,1
488,19,25,0,1,1,1
489,19,26,0,1,1,1
490,19,27,0,1,1,1
491,19,28,0,1,1,1
492,20,21,0,1,1,1
493,20,22,0,1,1,1
494,20,23,0,1,1,1
495,20,24,0,1,1,1
496,20,25,0,1,1,1
497,20,26,0,1,1,1
498,20,27,0,1,1,1
499,20,28,0,1,1,1
500,21,22,0,1,1,1
501,21,23,0,1,1,1
502,21,24,0,1,1,1
503,21,25,0,1,1,1
504,21,26,0,1,1,1
505,21,27,0,1,1,1
506,21,28,0,1,1,1
507,22,23,0,1,1,1
508,22,24,0,1,1,1
509,22,25,0,1,1,1
510,22,26,0,1,1,1
511,22,27,0,1,1,1
512,22,28,0,1,1,1
513,23,24,0,1,1,1
514,23,25,0,1,1,1
515,23,26,0,1,1,1
516,23,27,0,1,1,1
517,23,28,0,1,1,1
518,24,25,0,1,1,1
519,24,26,0,1,1,1
520,24,27,0,1,1,1
521,24,28,0,1,1,1
522,25,26,0,1,1,1
523,25,27,0,1,1,1
524,25,28,0,1,1,1
525,26,27,0,1,1,1
526,26,28,0,1,1,1
527,27,28,0,1,1,1
528,17,18,1,0,0,0
529,17,19,1,0,0,0
530,17,20,1,0,0,0
531,17,21,1,0,0,0
532,17,22,1,0,0,0
533,17,23,1,0,0,0
534,17,24,1,0,0,0
535,17,25,1,0,0,0
536,17,26,1,0,0,0
537,17,27,1,0,0,0
538,17,28,1,0,0,0
539,18,19,1,0,0,0
540,18,20,1,0,0,0
541,18,21,1,0,0,0
542,18,22,1,0,0,0
543,18,23,1,0,0,0
544,18,24,1,0,0,0
545,18,25,1,0,0,0
546,18,26,1,0,0,0
547,18,27,1,0,0,0
548,18,28,1,0,0,0
549,19,20,1,0,0,0
550,19,21,1,0,0,0
551,19,22,1,0,0,0
552,19,23,1,0,0,0
553,19,24,1,0,0,0
554,19,25,1,0,0,0
555,19,26,1,0,0,0
556,19,27,1,0,0,0
557,19,28,1,0,0,0
558,20,21,1,0,0,0
559,20,22,1,0,0,0
560,20,23,1,0,0,0
561,20,24,1,0,0,0
562,20,25,1,0,0,0
563,20,26,1,0,0,0
564,20,27,1,0,0,0
565,20,28,1,0,0,0
566,21,22,1,0,0,0
567,21,23,1,0,0,0
568,21,24,1,0,0,0
569,21,25,1,0,0,0
570,21,26,1,0,0,0
571,21,27,1,0,0,0
572,21,28,1,0,0,0
573,22,23,1,0,0,0
574,22,24,1,0,0,0
575,22,25,1,0,0,0
576,22,26,1,0,0,0
577,22,27,1,0,0,0
578,22,28,1,0,0,0
579,23,24,1,0,0,0
580,23,25,1,0,0,0
581,23,26,1,0,0,0
582,23,27,1,0,0,0
583,23,28,1,0,0,0
584,24,25,1,0,0,0
585,24,26,1,0,0,0
586,24,27,1,0,0,0
587,24,28,1,0,0,0
588,25,26,1,0,0,0
589,25,27,1,0,0,0
590,25,28,1,0,0,0
591,26,27,1,0,0,0
592,26,28,1,0,0,0
593,27,28,1,0,0,0
594,17,18,1,0,0,1
595,17,19,1,0,0,1
596,17,20,1,0,0,1
597,17,21,1,0,0,1
598,17,22,1,0,0,1
599,17,23,1,0,0,1
600,17,24,1,0,0,1
601,17,25,1,0,0,1
602,17,26,1,0,0,1
603,17,27,1,0,0,1
604,17,28,1,0,0,1
605,18,19,1,0,0,1
606,18,20,1,0,0,1
607,18,21,1,0,0,1
608,18,22,1,0,0,1
609,18,23,1,0,0,1
610,18,24,1,0,0,1
611,18,25,1,0,0,1
612,18,26,1,0,0,1
613,18,27,1,0,0,1
614,18,28,1,0,0,1
615,19,20,1,0,0,1
616,19,21,1,0,0,1
